{'Tiempo': '06:55:16', 'estado': '1'}
{'Tiempo': '06:55:19', 'estado': '1'}
{'Tiempo': '06:55:22', 'estado': '1'}
{'Tiempo': '06:55:25', 'estado': '1'}
{'Tiempo': '06:55:28', 'estado': '1'}
{'Tiempo': '06:55:31', 'estado': '1'}
{'Tiempo': '06:55:34', 'estado': '1'}
{'Tiempo': '06:55:37', 'estado': '0'}
{'Tiempo': '06:55:40', 'estado': '0'}
{'Tiempo': '06:55:43', 'estado': '0'}
{'Tiempo': '06:55:46', 'estado': '0'}
{'Tiempo': '06:55:49', 'estado': '0'}
{'Tiempo': '06:55:52', 'estado': '0'}
{'Tiempo': '06:55:55', 'estado': '1'}
{'Tiempo': '06:55:58', 'estado': '1'}
{'Tiempo': '06:56:01', 'estado': '1'}
{'Tiempo': '06:56:04', 'estado': '1'}
{'Tiempo': '06:56:07', 'estado': '1'}
{'Tiempo': '06:56:10', 'estado': '1'}
{'Tiempo': '06:56:13', 'estado': '1'}
{'Tiempo': '06:56:16', 'estado': '1'}
{'Tiempo': '06:56:19', 'estado': '1'}
{'Tiempo': '06:56:22', 'estado': '1'}
{'Tiempo': '06:56:25', 'estado': '1'}
{'Tiempo': '06:56:28', 'estado': '1'}
{'Tiempo': '06:56:31', 'estado': '1'}
{'Tiempo': '06:56:34', 'estado': '1'}
