{'Tiempo': '06:53:18', 'Fa0-0_In_uPackets': '32689'}
{'Tiempo': '06:53:23', 'Fa0-0_In_uPackets': '32782'}
{'Tiempo': '06:53:29', 'Fa0-0_In_uPackets': '32935'}
{'Tiempo': '06:53:34', 'Fa0-0_In_uPackets': '33028'}
{'Tiempo': '06:53:39', 'Fa0-0_In_uPackets': '33121'}
{'Tiempo': '06:53:44', 'Fa0-0_In_uPackets': '33214'}
{'Tiempo': '06:53:50', 'Fa0-0_In_uPackets': '33307'}
{'Tiempo': '06:53:55', 'Fa0-0_In_uPackets': '33400'}
{'Tiempo': '06:54:00', 'Fa0-0_In_uPackets': '33493'}
{'Tiempo': '06:54:06', 'Fa0-0_In_uPackets': '33586'}
{'Tiempo': '06:54:11', 'Fa0-0_In_uPackets': '33679'}
{'Tiempo': '06:54:16', 'Fa0-0_In_uPackets': '33772'}
{'Tiempo': '06:54:22', 'Fa0-0_In_uPackets': '33925'}
{'Tiempo': '06:54:27', 'Fa0-0_In_uPackets': '34018'}
{'Tiempo': '06:54:32', 'Fa0-0_In_uPackets': '34111'}
{'Tiempo': '06:54:37', 'Fa0-0_In_uPackets': '34204'}
{'Tiempo': '06:54:43', 'Fa0-0_In_uPackets': '34297'}
{'Tiempo': '06:54:48', 'Fa0-0_In_uPackets': '34390'}
{'Tiempo': '06:54:53', 'Fa0-0_In_uPackets': '34483'}
{'Tiempo': '06:54:59', 'Fa0-0_In_uPackets': '34576'}
{'Tiempo': '06:55:04', 'Fa0-0_In_uPackets': '34669'}
{'Tiempo': '06:55:09', 'Fa0-0_In_uPackets': '34822'}
{'Tiempo': '06:55:14', 'Fa0-0_In_uPackets': '34915'}
{'Tiempo': '06:55:20', 'Fa0-0_In_uPackets': '35008'}
{'Tiempo': '06:55:25', 'Fa0-0_In_uPackets': '35101'}
{'Tiempo': '06:55:30', 'Fa0-0_In_uPackets': '35194'}
{'Tiempo': '06:55:36', 'Fa0-0_In_uPackets': '35287'}
{'Tiempo': '06:55:41', 'Fa0-0_In_uPackets': '35380'}
{'Tiempo': '06:55:46', 'Fa0-0_In_uPackets': '35473'}
{'Tiempo': '06:55:51', 'Fa0-0_In_uPackets': '35566'}
{'Tiempo': '06:55:57', 'Fa0-0_In_uPackets': '35719'}
{'Tiempo': '06:56:02', 'Fa0-0_In_uPackets': '35812'}
{'Tiempo': '06:56:07', 'Fa0-0_In_uPackets': '35905'}
{'Tiempo': '06:56:13', 'Fa0-0_In_uPackets': '35998'}
{'Tiempo': '06:56:18', 'Fa0-0_In_uPackets': '36091'}
{'Tiempo': '06:56:23', 'Fa0-0_In_uPackets': '36184'}
{'Tiempo': '06:56:28', 'Fa0-0_In_uPackets': '36277'}
{'Tiempo': '06:56:34', 'Fa0-0_In_uPackets': '36370'}
